flag	read_sites	enclosing_functions	what_it_gates	L_group	t2_levers_entry	roster_verdict	go_stack.sh	run_ours_task.sh	arms/viewmax2.env	set_in_live_chain
T2_TRACE_LINECAP	t2_lever_beat.py:133	_trace	cap = int(os.environ.get("T2_TRACE_LINECAP", "2000") or 2000)							no
T2_TRANSCRIBE	t2_gate_patch.py:9806	apply_unified_regen	and os.environ.get("T2_TRANSCRIBE") == "1"	L11	CELLS	UNMEASURED	1			yes
T2_TRANSCRIBE_CAP	t2_gate_patch.py:9808	apply_unified_regen	< int(os.environ.get("T2_TRANSCRIBE_CAP", "4"))):		PARAMS		4			yes
T2_TRANSFER_LEAVES_STEPS	t2_gate_patch.py:9945	apply_unified_regen	and os.environ.get("T2_TRANSFER_LEAVES_STEPS") == "1"	L4	CELLS	UNMEASURED	1			yes
T2_TRANSFER_PREREQ	t2_transfer_prereq.py:26;t2_transfer_prereq.py:70;t2_transfer_prereq.py:87;t2_transfer_prereq.py:89	enabled;selftest	return os.environ.get("T2_TRANSFER_PREREQ") == "1"			DARK				no
T2_TRANSFER_TIER	t2_gate_patch.py:15847	apply_unified_regen	if (os.environ.get("T2_TRANSFER_TIER") == "1" and getattr(am, "tool_calls", None)	L6	CELLS	UNMEASURED(L6 미판정)	1			yes
T2_TRUNC_GUARD	t2_gate_patch.py:14615;t2_gate_patch.py:14634	apply_unified_regen	if (os.environ.get("T2_TRUNC_GUARD") == "1"		HARNESS		1			yes
T2_UNAVAIL_PROMISE	t2_gate_patch.py:15391	apply_unified_regen	if os.environ.get("T2_UNAVAIL_PROMISE") == "1" and _cpv.get("feedback_unavailable"):	L3	CELLS	UNMEASURED	1			yes
T2_UNCALLED_UNLOCK	t2_gate_patch.py:14818	apply_unified_regen	if (os.environ.get("T2_UNCALLED_UNLOCK") == "1" and _resign	L2	CELLS	UNMEASURED	1			yes
T2_UNINSTRUCTABLE	t2_gate_patch.py:15649	apply_unified_regen	if (os.environ.get("T2_UNINSTRUCTABLE") == "1" and not getattr(am, "tool_calls", None)	L7	CELLS	UNMEASURED	1			yes
T2_UNKNOWN_NAME_BL	t2_gate_patch.py:11988	apply_unified_regen	if (un_fb is None and os.environ.get("T2_UNKNOWN_NAME_BL") == "1"	L2	CELLS	UNMEASURED	1			yes
T2_UNKNOWN_NAME_BL_CAP	t2_gate_patch.py:11993	apply_unified_regen	< int(os.environ.get("T2_UNKNOWN_NAME_BL_CAP", "6"))):							no
T2_UNKNOWN_REPEAT_GUARD	t2_gate_patch.py:14689;t2_gate_patch.py:14712	apply_unified_regen	if (os.environ.get("T2_UNKNOWN_REPEAT_GUARD") == "1"	L2	CELLS	UNMEASURED	1			yes
T2_UNKNOWN_UNVERIFIED	t2_compute.py:394	_apply_op	if (os.environ.get("T2_UNKNOWN_UNVERIFIED") == "1"			DARK				no
T2_UNLOCK_NAME	t2_gate_patch.py:11910;t2_gate_patch.py:14255	apply_unified_regen	if (os.environ.get("T2_UNLOCK_NAME") == "1" and _unspec	L2	CELLS	UNMEASURED	1			yes
T2_UNLOCK_NAME_CAP	t2_gate_patch.py:11915	apply_unified_regen	< int(os.environ.get("T2_UNLOCK_NAME_CAP", "6"))):							no
T2_UNLOCK_PROV	t2_gate_patch.py:14271	apply_unified_regen	elif (_uv and os.environ.get("T2_UNLOCK_PROV") == "1"):	L2	CELLS	UNMEASURED	1			yes
T2_UNLOCK_QUIET	t2_gate_patch.py:14060	apply_unified_regen	if os.environ.get("T2_UNLOCK_QUIET") == "1":	L2		NEAR_VALID(0 VALID)				no
T2_UNUSED_GRANT	t2_gate_patch.py:8911	apply_unified_regen	if os.environ.get("T2_UNUSED_GRANT", "1") == "1":							no
T2_UNVERIFIED_FOLLOWUP	t2_gate_patch.py:14769	apply_unified_regen	if (os.environ.get("T2_UNVERIFIED_FOLLOWUP") == "1" and _resign	L6	CELLS	UNMEASURED(L6 미판정)	1			yes
T2_USER_TOOL_NOTE	t2_gate_patch.py:15677	apply_unified_regen	if (os.environ.get("T2_USER_TOOL_NOTE") == "1" and getattr(am, "tool_calls", None)	L7	CELLS	UNMEASURED	1			yes
T2_VALUE_ACQUIRE	t2_gate_patch.py:9029	apply_unified_regen	if (a2 is not None and os.environ.get("T2_VALUE_ACQUIRE") == "1") else []		CELLS	HARMFUL	1			yes
T2_VALUE_ACQUIRE_CAP	t2_gate_patch.py:10300	apply_unified_regen	< int(os.environ.get("T2_VALUE_ACQUIRE_CAP", "3"))):							no
T2_VALUE_FORMULA	t2_compute.py:500	_apply_op	_vmode = str(os.environ.get("T2_VALUE_FORMULA") or "").strip().lower()				full			yes
T2_VERDICT_CARRY	t2_gate_patch.py:5123;t2_gate_patch.py:5189	_search_material	or os.environ.get("T2_VERDICT_CARRY") == "1") and _po.get("requirement_prompt"):	L6		UNMEASURED(L6 미판정)	0			yes
T2_VERDICT_GATE	t2_gate_patch.py:12381	apply_unified_regen	if (os.environ.get("T2_VERDICT_GATE") == "1"	L6		UNMEASURED(L6 미판정)	0			yes
T2_VERDICT_GATE_CAP	t2_gate_patch.py:12384	apply_unified_regen	< int(os.environ.get("T2_VERDICT_GATE_CAP", "1"))):				1			yes
T2_VERDICT_SURFACE	t2_gate_patch.py:14851	apply_unified_regen	if (os.environ.get("T2_VERDICT_SURFACE") == "1" and _resign	L6	CELLS	UNMEASURED(L6 미판정)	1			yes
T2_VERIFY_DENY_CAP	t2_gate_patch.py:11689	apply_unified_regen	< int(os.environ.get("T2_VERIFY_DENY_CAP", "1"))):		META		2			yes
T2_VIEW_ANNOTATE	t2_gate_patch.py:9056	apply_unified_regen	if os.environ.get("T2_VIEW_ANNOTATE") == "1" and a2 is not None:		HARNESS		1			yes
T2_VIEW_COMPACT	t2_gate_patch.py:9036	apply_unified_regen	if os.environ.get("T2_VIEW_COMPACT") == "1":		HARNESS		1			yes
T2_VIEW_COMPACT_KEEP	t2_gate_patch.py:9039	apply_unified_regen	keep_recent=int(os.environ.get("T2_VIEW_COMPACT_KEEP", "6")),							no
T2_VIEW_COMPACT_MINLEN	t2_gate_patch.py:9040	apply_unified_regen	min_len=int(os.environ.get("T2_VIEW_COMPACT_MINLEN", "800")),							no
T2_VIEW_COMPACT_MINTOTAL	t2_gate_patch.py:4055	view_thresholds	env_mt = os.environ.get("T2_VIEW_COMPACT_MINTOTAL") if mintotal is None else mintotal		HARNESS		60000		344064	yes
T2_VIEW_MSG_CAP	t2_gate_patch.py:4056	view_thresholds	env_mc = os.environ.get("T2_VIEW_MSG_CAP") if msgcap is None else msgcap		HARNESS		8000		0	yes
T2_VIEW_SCALE	t2_gate_patch.py:4048	view_thresholds	scale = (os.environ.get("T2_VIEW_SCALE", "off") if scale is None else scale)						auto	yes
T2_WEV_CAP	t2_gate_patch.py:9023	apply_unified_regen	_wev_cap = int(os.environ.get("T2_WEV_CAP", "8"))							no
T2_WEV_ROUNDS	t2_gate_patch.py:10085	apply_unified_regen	and wev_rounds < int(os.environ.get("T2_WEV_ROUNDS", "1"))		PARAMS		2			yes
T2_WINDOW	t2_gate_patch.py:10577	apply_unified_regen	if os.environ.get("T2_WINDOW") != "1":	L13	META	UNMEASURED	1			yes
T2_WITHDRAWN_ROW	t2_gate_patch.py:9908	apply_unified_regen	and os.environ.get("T2_WITHDRAWN_ROW") == "1"		CELLS	DARK	1			yes
T2_WRITE_ARG_ENUM	t2_gate_patch.py:12237	apply_unified_regen	if os.environ.get("T2_WRITE_ARG_ENUM") == "1" and _ens:	L1		UNMEASURED				no
T2_WRITE_ARG_ENUM_CAP	t2_gate_patch.py:12243	apply_unified_regen	< int(os.environ.get("T2_WRITE_ARG_ENUM_CAP", "3")))							no
T2_WRITE_ARG_FAB	t2_gate_patch.py:12128	apply_unified_regen	if os.environ.get("T2_WRITE_ARG_FAB") == "1" and en_fb is None:				${T2_WRITE_ARG_FAB:-0}			yes
T2_WRITE_ARG_GROUND	t2_gate_patch.py:9014	apply_unified_regen	if (a2 is not None and os.environ.get("T2_WRITE_ARG_GROUND") == "1") else []	L1	CELLS	UNMEASURED	1			yes
T2_WRITE_ARG_TYPE	t2_gate_patch.py:12316	apply_unified_regen	if _bad and os.environ.get("T2_WRITE_ARG_TYPE") == "1":				${T2_WRITE_ARG_TYPE:-0}	1		yes
T2_WRITE_CAP	t2_gate_patch.py:1278	apply	wcap_on = os.environ.get("T2_WRITE_CAP") == "1"			DARK				no
T2_WRITE_CAP_K	t2_gate_patch.py:1279	apply	wcap_k = int(os.environ.get("T2_WRITE_CAP_K", "2"))							no
T2_WRITE_EVIDENCE	t2_gate_patch.py:1284;t2_gate_patch.py:9011	apply;apply_unified_regen	if os.environ.get("T2_WRITE_EVIDENCE") == "1" else []		CELLS	HARMFUL	1			yes
T2_WRITE_PROV	t2_gate_patch.py:15205	apply_unified_regen	if (os.environ.get("T2_WRITE_PROV") == "1" and _resign	L3	CELLS	UNMEASURED	1			yes
T2_WRITE_SUB	t2_gate_patch.py:9208;t2_gate_patch.py:9221;t2_resolve.py:502	apply_unified_regen;resolve_action_operator	if os.environ.get("T2_WRITE_SUB") in ("2", "3") and a2 is not None:	L12		UNMEASURED				no
